,4EBP1pS65,RbpS807,MAPKpT202,MEKpS217,S6,PAI-1,AKTpS473,AMPKpT172,b-Catenin,BIM,Caveolin,CyclinB1,CyclinD1,GSK3abpS21,GSKpS9,IGFBP2,p38pT180,p53,p70S6KpT389,SRCpY527,STAT3pY705,TSC2pT1462,YAPpS127,ACC1,AKTpT308,AKT,b-CateninpS,Fibronectin,HSP27,IGF1R-beta,IRS1,p27,c-Myc,SMAD3,STAT3,STAT5,STAT5pY694,COX2,PAX2,PLK1,YBIpS102,CHK2pT68,S6pS235,S6pS240,4EBP1pT37,Caspase9,a-tubulin,ATMpS1981,ATR,BAK,BCL-XL,BCL2,bRAF,c-JUNpS73,Casp9cAsp31,CHK1pS345,cRAFV,EGFRV,ELK1pS383,ERa,GATA3,GSK3ab,mTORpS2448,p21,STAT6pY641,TAZpS89,XRCC1,PCNA,PDK1pS241,PI3Kp85,PKCa,RAD51,SRCpY416,4EBP1pT70,ACCpS79,Collagenase,CyclinE1,IRS1pS307,p38,SMAD3pS423,TSC2,SRC,G2M,G1arrest,G2arrest,Sarrest,cellviab,aMEK,aAKT,aHDAC,aMDM2,aJAK,aBRAFm,aPKC,aSTAT3,amTOR,aPI3K,aCDK4,aSRC
0,-1.6011513,-0.65177476,0.19229253,-0.6177298,-0.7516335,0.77559507,0.18426394,-0.06645426,0.28354177,0.8680933,-0.44780436,-0.19799732,-0.55459815,0.56649625,-0.7534439,0.051120054,-0.0023988958,0.102802485,-0.800859,0.26095003,-0.45765126,0.3191965,-0.4474172,-0.21009547,-0.5380147,-0.6735674,-0.020738505,-0.050359,-0.02245773,-0.015881408,0.36405325,0.031843774,-0.10782774,-0.9635255,0.033587288,0.0012505497,0.24741259,1.138887,0.42782912,-0.5221375,0.38182983,0.0057034413,-2.0235424,-1.0974213,-1.0255477,0.09511286,-0.071686625,0.0022702084,-0.027687214,0.34386712,0.6935696,0.03154838,-0.08363974,0.101671845,0.039461285,0.00035625207,-0.17710328,0.20045565,0.47793326,0.20276555,0.13264969,-0.08319881,-0.18626922,-0.0019526363,0.22183013,0.031428233,0.014609216,-0.519982,-0.011700579,0.008290162,0.024668027,-0.33716714,-0.018960558,-0.35484996,0.57646877,0.5764979,0.010399611,-0.15517333,-0.68901795,-0.14810228,-0.45237735,0.13582185,0.23621842,0.27286172,0.9017784,0.92945766,-1.9763255,-0.3420069,-0.49354085,-0.15390927,-0.23362081,-1.2971706e-09,-0.92084944,-0.6234784,-0.0079216845,-0.8715278,-0.31724072,-0.5489478,-0.06997311
1,-0.6943208,-0.5478135,-0.68107754,-0.48043743,-0.32917956,0.4900564,-2.5485086,-0.37437722,0.36259982,0.32479522,0.6481354,-0.6319897,-0.469659,-1.0869377,-0.93595093,0.08993935,-0.053335674,0.26659608,-0.97441334,-0.079805315,0.10548413,-0.5332201,-0.2862808,-0.047113895,-2.045895,-0.15091765,-0.0026567644,0.36656833,-0.06385493,0.05620397,0.31224975,0.08686109,-0.060428742,-0.15583615,0.042568322,0.001223438,0.2645808,-0.40997133,0.35422444,-0.27553314,-0.10482113,0.2516863,-2.0832646,-1.2256039,-0.5661324,0.09510466,-0.096300185,-0.00036313778,-0.05068454,0.2863064,0.14717291,0.058553316,-0.08463011,0.010746418,0.035907872,0.00040533819,-0.17949153,0.21385546,0.09980408,0.123059176,0.31888938,-0.086081505,-0.07318309,-0.0021898511,0.2023494,0.06566945,0.01059485,0.33228472,-0.0051243687,0.02318309,0.027655609,-0.02211717,-0.01525138,-0.053050686,0.046246286,0.31421965,-0.05693242,-0.15818955,-0.24420838,-0.1247389,-0.3011212,0.11344754,0.20248964,0.29237533,1.4407907,0.14574084,-1.7280558,-0.38935733,-1.0414381,-0.1630708,-0.20223098,4.2767674e-09,-0.7342319,0.30815676,0.04349789,-1.1131637,0.7129448,0.32005325,0.4011568
2,-1.5511059,-0.65424085,-0.45473188,-0.651674,-0.608069,0.6613182,-1.5562751,-0.028956387,0.033315364,0.6545254,0.15627438,-0.6104708,-0.40534678,-0.5068121,-0.78883725,0.0783332,-0.040439747,0.20858297,-0.94454503,0.13003975,-0.17101261,-0.47897193,-0.40889445,-0.41170123,-0.82353574,-0.70814335,-0.0057674767,0.13043348,-0.029214848,0.03466348,0.06673863,0.031519283,-0.081898086,-0.3164968,0.039792202,0.0012600925,0.13753846,-0.09792789,0.4629498,-0.4050845,0.1571747,-0.18214348,-1.891878,-1.0634593,-1.0726976,0.1209011,-0.081137046,0.0026637432,-0.046048053,-0.008654494,0.6198689,0.045637622,-0.09058645,0.13449368,0.042173065,0.000363623,-0.18270656,0.28288454,0.3690598,0.19703846,0.24598737,-0.08392904,-0.117061056,-0.0020012248,0.19990815,0.06425063,0.01410695,-0.015935194,-0.0084218085,0.019518862,0.025256924,-0.2726859,-0.018108118,-0.08052088,0.22203611,0.49984124,-0.031750936,-0.16033907,-0.4657504,-0.13023202,-0.52833897,0.13503885,0.23021546,0.30215722,1.4039913,0.67414695,-1.9214137,-0.52722543,-0.2453193,-0.17030823,-0.24444897,-1.9000394e-08,-1.0376391,0.3211044,0.015258584,-0.5180459,-1.2496481,-0.43868876,0.5044677
3,-0.83894116,-0.5669207,0.0021072237,-0.5262213,-0.32189238,0.20981912,-0.109812945,-0.19560452,0.83058655,0.46954936,-0.31493878,-0.46724382,-0.37957144,0.13317965,-0.78625226,0.05716099,-0.006695719,0.12806255,-0.73572874,-0.025344633,-0.38603646,0.24806914,-0.19328758,0.072125934,-0.24936433,-0.09723114,-0.02480018,-0.0054578586,-0.01275321,-0.0063596033,0.6214772,0.13842651,-0.14408556,-0.68176866,0.035799168,0.0012017521,0.276627,1.2495155,0.20950192,-0.37437886,-0.32994288,0.36359718,-2.1121657,-1.2823629,-0.8242348,0.07498546,-0.048147455,-0.00041577854,-0.028896473,0.52533114,0.26275685,0.029663285,-0.08033137,0.04464636,0.03537776,0.0002637975,-0.14043616,0.13366507,0.32001102,0.12040756,0.06299107,-0.084846355,-0.29454356,-0.0017113802,0.16436736,0.037194125,0.011098791,-0.23880264,-0.010343296,0.0061740344,0.02691824,-0.27007368,-0.018219817,-0.3279742,0.23905303,0.32291448,0.0022230514,-0.15330803,-0.4364179,-0.10300151,-0.018368905,0.11707308,0.22301172,0.27447128,0.9889272,0.54127276,-1.9425085,-0.16972709,-0.34075165,-0.031115292,-0.21559052,-5.42926e-08,-0.7689048,-0.61345994,-0.003779684,-0.48634234,0.09189714,-0.2526195,-0.29031774
4,-0.45827004,-0.44953266,-0.3884223,-0.46688423,-0.15448195,0.0771772,-0.08685469,-0.0036128275,0.1437568,0.23960714,-0.1822692,-0.44472075,-0.31469464,-0.41464153,-0.42080086,0.06487497,-0.02738811,0.10312601,-0.47009158,-0.026127215,-0.07683826,-0.21112488,-0.13986324,-0.11509904,-0.22217229,-0.26277784,-0.01838833,-0.027038598,-0.011294154,0.0010986218,0.0352481,0.15748395,-0.09208576,-0.12870687,0.03460464,0.0006042551,-0.14790523,0.37012786,0.33766353,-0.1569303,-0.12612987,0.24068183,-0.70028,-0.25358066,-0.6573469,0.08904021,-0.060164403,0.009250689,-0.039549485,0.35285485,-0.071974844,0.0284665,-0.08429509,0.04918112,0.040444545,0.00027984977,-0.14351164,0.13142288,0.18349673,0.30532184,0.20691942,-0.054387923,-0.034943234,-0.0005062142,0.09890023,0.063982725,0.0101699475,0.049300753,-0.004576612,0.0044946875,0.017011968,-0.33917966,-0.019313294,-0.06951486,0.28391078,0.1994699,0.002978283,-0.124295026,-0.21454705,-0.08879117,-0.07282859,0.09573654,0.18695404,0.25046822,1.2826,0.31876698,-1.8053176,-0.39319783,-0.14061823,-0.020518722,-0.17828575,-9.447749e-08,-0.61221325,-0.041620314,0.039981365,-0.48294535,-0.20836297,-0.27339152,-0.009563719
5,-0.45775512,-0.45134136,-0.39003584,-0.47502568,-0.14543213,0.06788666,-0.10361086,-0.010709301,0.1728841,0.23663919,-0.18401755,-0.45543918,-0.30247003,-0.4239721,-0.43500707,0.0654251,-0.027723504,0.10514205,-0.47421375,-0.03232117,-0.0826214,-0.21332154,-0.13763669,-0.11266877,-0.21936381,-0.24994664,-0.018834332,-0.026195923,-0.0112630045,0.0014209722,0.044654656,0.16273539,-0.09491547,-0.14039564,0.03487091,0.0006093669,-0.1476017,0.40460765,0.34086248,-0.16723688,-0.14126691,0.25701112,-0.70093113,-0.24696612,-0.6645939,0.089613095,-0.060373645,0.009193509,-0.039885,0.3663153,-0.0839013,0.028669901,-0.08468907,0.04841513,0.0406172,0.0002820771,-0.1442499,0.12974374,0.18480608,0.30608347,0.20910767,-0.054780737,-0.038879544,-0.0005348232,0.09939728,0.06440878,0.010199962,0.052062873,-0.0045575174,0.004633378,0.01714391,-0.35502538,-0.01937092,-0.07417742,0.2843861,0.21174948,0.002590697,-0.12500562,-0.21501148,-0.089030586,-0.06293266,0.09616232,0.18801008,0.2518171,1.294453,0.31166616,-1.8112087,-0.39206898,-0.13769907,-0.021561574,-0.2625234,-9.9352256e-08,-0.61718744,-0.041062392,-0.0010907757,-0.47721702,-0.19355884,-0.27816296,-0.020026537
6,-0.31200185,-0.19039582,-0.32367536,-0.25401103,-0.3552409,0.27306575,1.0612929,-0.23365979,0.07709583,0.008067498,0.31122038,-0.78722787,0.24481177,0.14600825,-0.21836439,0.053069077,-0.0037671588,0.18967749,-1.3303057,-0.012978919,-0.027609218,0.38145056,-0.14673635,-0.24454653,0.7857987,-0.40489337,-0.023332525,0.29592624,0.0127934925,0.013577113,0.22091378,0.014294329,0.0385907,-0.038887404,0.03813395,0.0016028993,-0.029384024,0.8608437,0.046294123,-0.18156493,-0.4376195,0.2532247,-3.3140688,-2.6932034,-0.49201906,-0.005904636,-0.01494974,-0.016952775,-0.020727117,0.14376481,-0.4777161,0.01020501,-0.07644785,-0.0044039306,0.025430795,0.00019433591,-0.09992274,0.023698693,-0.024196753,0.13471714,0.09165708,-0.10765024,0.20700271,-0.0011609129,-0.0018863968,0.032202225,0.010003664,0.14840701,-0.02156556,0.0089460965,0.033299297,-0.067436785,-0.014714298,-0.055355057,-0.1172017,0.17570819,0.020872429,-0.18139684,0.00067222386,-0.05484937,-0.14057902,0.097856544,0.21911961,0.29263675,1.4705924,0.65502906,-1.912944,-0.2148588,0.01708615,-0.18925159,-0.21483234,-1.3314904e-07,0.20905532,0.7636891,-0.013595019,-0.8512305,0.3141627,0.079620235,0.30354843
7,-0.34758157,-0.46613023,-0.45677626,-0.5679913,-0.048141316,-0.13391776,-0.0870196,-0.0100941155,0.31626585,0.17228131,-0.20211451,-0.5742683,-0.36914995,-0.4739465,-0.5293426,0.06559271,-0.026543202,0.12889655,-0.53798974,-0.09512927,-0.089591786,-0.24886267,-0.13886651,-0.059934456,-0.20038052,-0.106718555,-0.01855401,0.0021535717,-0.011114749,0.0038392334,0.15285946,0.1772229,-0.1228035,-0.10495754,0.03570622,0.000702586,-0.11708719,0.37820277,0.2863869,-0.15284933,-0.29669803,0.46590513,-0.9813055,-0.40737766,-0.78251076,0.08670989,-0.057361886,0.0065658703,-0.03897872,0.32452446,-0.15031011,0.02817138,-0.08414142,0.041621324,0.03924884,0.00026847876,-0.14507511,0.14458764,0.16431381,0.26742136,0.24706428,-0.060512006,-0.09475415,-0.0007170833,0.10366781,0.0643801,0.009888451,0.15908766,-0.005711871,0.0046959724,0.019393675,-0.27097055,-0.01886883,-0.06554911,0.17972825,0.10664043,0.0024396991,-0.1318268,-0.13317636,-0.08468053,-0.048319343,0.0960279,0.19400628,0.26262617,1.3165549,0.3160406,-1.818898,-0.37291482,-0.18089445,-0.14847705,-0.17943768,-9.7337e-08,-0.6263772,-0.00086026895,0.03913439,-0.50139993,-0.15663353,-0.35054553,-0.41442028
8,-0.56275904,-0.6343629,-0.62673736,-0.56158715,-0.23354235,0.069919966,-0.063521296,0.034872834,0.2052331,0.2915498,0.045632396,-0.52320313,-0.5649137,-0.55577254,-0.5257461,0.07073359,-0.035079468,0.22708942,-0.6127146,-0.041695185,-0.044678204,-0.29432878,-0.3354635,-0.3093591,-0.19273569,-0.49754906,-0.010937794,0.050001398,-0.010987517,0.006331861,0.055884648,0.1744791,-0.070252985,-0.106718704,0.038179472,0.0007238287,-0.16926458,-0.2179997,0.40546918,-0.15483606,-0.18085605,0.20698936,-0.8781381,-0.44444638,-0.77338314,0.11668028,-0.06677573,0.00729049,-0.043619685,0.30883822,-0.020096283,0.02876308,-0.08997231,0.06256109,0.041868698,0.00030057642,-0.17258042,0.19169885,0.13882434,0.29472172,0.35601288,-0.06291907,0.014448007,-0.0007903837,0.09870985,0.08104249,0.011447171,0.3028939,-0.006470543,0.007070156,0.018727714,-0.16580267,-0.01903494,-0.16771272,0.28181428,0.2036862,0.0038725168,-0.1380832,-0.057791285,-0.092865504,-0.22337794,0.102050565,0.19835357,0.2842764,1.5692266,0.38284022,-1.8437585,-0.5053842,-0.1343691,-0.15842552,-0.26925868,-1.1647323e-07,-0.97668284,0.123980045,-0.00199271,-0.44130978,-0.26864934,-0.33303556,0.22710937
9,-0.486121,-0.15538763,-0.21478337,-0.1353702,-0.6767958,0.56167424,1.6490085,-0.3885627,0.32561696,-0.039706457,0.60286665,-1.2026627,0.45535913,0.5647344,-0.12592699,0.043059483,0.012772079,0.306835,-1.7686584,0.042101346,-0.1619846,0.9743424,-0.18620715,-0.4219723,1.4466946,-0.47234535,-0.025247188,0.4883587,0.026287574,0.013364252,0.55715513,-0.09926005,0.12390259,-0.116899654,0.03891498,0.0022552977,0.31403154,1.1734027,-0.15588343,-0.48963094,-0.52741814,0.16131808,-4.8516297,-4.524759,-0.43845943,-0.05843214,0.0028374684,-0.035083547,-0.008299471,-0.025665672,-0.5544737,-0.00083761197,-0.07188955,-0.01815531,0.01583863,0.00018863766,-0.10632113,-0.030014787,-0.09247783,-0.09791373,0.11449145,-0.13962084,0.20664413,-0.0016256663,-0.032616388,0.011458774,0.010662432,0.11720874,-0.03322364,0.014655828,0.04138192,0.1721433,-0.011625001,-0.36337683,-0.47142625,0.31092706,0.029555133,-0.2098524,0.102172896,-0.06160419,-0.24488491,0.102055915,0.23844029,0.3153428,1.5590917,0.92829263,-1.963026,0.08098308,0.042371687,-0.20853469,-0.06965574,-1.1092629e-07,0.5842436,0.83654976,-0.027718762,-1.6321403,0.53858876,0.40456644,0.44528443
