,4EBP1pS65,RbpS807,MAPKpT202,MEKpS217,S6,PAI-1,AKTpS473,AMPKpT172,b-Catenin,BIM,Caveolin,CyclinB1,CyclinD1,GSK3abpS21,GSKpS9,IGFBP2,p38pT180,p53,p70S6KpT389,SRCpY527,STAT3pY705,TSC2pT1462,YAPpS127,ACC1,AKTpT308,AKT,b-CateninpS,Fibronectin,HSP27,IGF1R-beta,IRS1,p27,c-Myc,SMAD3,STAT3,STAT5,STAT5pY694,COX2,PAX2,PLK1,YBIpS102,CHK2pT68,S6pS235,S6pS240,4EBP1pT37,Caspase9,a-tubulin,ATMpS1981,ATR,BAK,BCL-XL,BCL2,bRAF,c-JUNpS73,Casp9cAsp31,CHK1pS345,cRAFV,EGFRV,ELK1pS383,ERa,GATA3,GSK3ab,mTORpS2448,p21,STAT6pY641,TAZpS89,XRCC1,PCNA,PDK1pS241,PI3Kp85,PKCa,RAD51,SRCpY416,4EBP1pT70,ACCpS79,Collagenase,CyclinE1,IRS1pS307,p38,SMAD3pS423,TSC2,SRC,G2M,G1arrest,G2arrest,Sarrest,cellviab,aMEK,aAKT,aHDAC,aMDM2,aJAK,aBRAFm,aPKC,aSTAT3,amTOR,aPI3K,aCDK4,aSRC
0,-0.53351516,-0.61148876,-0.5934807,-0.5407646,-0.2586016,0.17125028,-0.10269932,-0.004020065,0.17170909,0.2714389,-0.041485894,-0.45146197,-0.50350165,-0.5716919,-0.46020067,0.09328262,-0.06370942,0.1917415,-0.5698857,-0.035643496,-0.028287094,-0.30459386,-0.30702347,-0.2431654,-0.25796598,-0.4424547,-0.027150514,0.015575673,-0.0065143374,0.027577052,-0.011677375,0.1927416,-0.078030325,-0.113483414,0.049198348,0.0013459919,-0.2059604,-0.08177927,0.44484755,-0.1152672,-0.16341367,0.24439415,-0.63856345,-0.42600393,-0.7705912,0.098636866,-0.069165364,0.028902499,-0.059267506,0.37909374,-0.095753394,0.042926043,-0.10324031,0.04957126,0.056063976,1.6387587e-05,-0.18861945,0.16707397,0.14509442,0.3551011,0.3628687,-0.07733693,-0.07103466,-0.0055653565,0.09862264,0.08559525,0.010155038,0.26105666,0.019734696,-0.022320477,0.038726203,-0.28243828,-0.030484824,-0.11410789,0.29363066,0.25337356,0.003820066,-0.14755186,-0.17062649,-0.10616153,-0.1704835,0.13814105,0.22238827,0.29710346,1.5943173,0.426278,-1.9078164,-0.5429075,-0.028899845,-0.16582707,-0.2740049,-1.09867116e-07,-0.9906582,0.041459825,-0.009721045,-0.5372672,-0.22933084,-0.28393626,0.16844563
1,-1.0223737,-0.6516671,-0.32464138,-0.5433143,-0.4928392,0.45215797,-2.5219836,-0.50749296,1.0089458,0.49213618,0.4082282,-0.6830689,-0.47740817,-0.6269992,-1.1403773,0.12031704,-0.07062432,0.2593675,-1.2080133,-0.10166377,-0.32785374,-0.028569542,-0.2388454,0.17534295,-1.9727598,0.026971532,-0.030985488,0.32122976,-0.034046084,0.09191108,0.85948616,0.11144565,-0.10984777,-0.784088,0.062073532,0.0037814176,0.6959737,1.072152,0.21855128,-0.54557574,-0.43969613,0.38122338,-3.1400588,-2.3562076,-0.82751393,0.07070937,-0.092060074,0.038781658,-0.07668854,0.5105332,0.4250424,0.06546158,-0.110233456,0.020653911,0.06555771,7.369907e-05,-0.19959286,0.14060509,0.34106463,0.05663629,0.16685215,-0.14455244,-0.30411723,-0.019875042,0.22827876,0.055910468,0.012530813,0.11679163,0.03776413,-0.10380323,0.080716506,-0.17516375,-0.033464037,-0.4248208,0.14080216,0.3958666,0.0244359,-0.19146493,-0.606125,-0.14545122,-0.1850984,0.16944632,0.26026255,0.33364454,1.135982,0.632023,-1.9974077,-0.0906204,-1.174766,-0.18326974,-0.23589806,-1.1672893e-07,-0.94068795,-0.3884573,-0.005604712,-1.0554242,0.88764966,0.220089,0.012508817
2,-0.84215176,-0.33203015,-0.3957349,-0.3194459,-0.7999494,0.6007008,1.8524722,-0.35387713,0.1915096,-0.014011008,0.5282868,-1.2071415,0.34889203,0.6021522,-0.11166646,0.11254768,-0.063680485,0.32605365,-1.837377,0.09551694,-0.25940087,0.9799777,-0.3879125,-0.5731892,1.3861445,-0.6785341,-0.02240797,0.4755879,0.060819536,0.09791252,0.43755215,-0.058513947,0.0818171,-0.24788661,0.07531902,0.0046071243,0.32979208,1.141871,-0.0022304968,-0.5947796,-0.50262856,0.19638517,-4.8813043,-4.570668,-0.62356365,-0.014137605,-0.07903229,0.034711294,-0.06343828,-0.03270112,-0.35056388,0.04569392,-0.12573698,0.029318178,0.07022992,8.248477e-05,-0.19338417,-0.002880272,0.042676207,-0.057727393,0.21011624,-0.1980266,0.158751,-0.019173473,0.00030135713,0.04992789,0.014194168,0.17085825,0.0493384,-0.122152895,0.106535,0.13338745,-0.03481376,-0.4669881,-0.27713883,0.30224192,0.046262912,-0.22739753,-0.024627708,-0.1421271,-0.440768,0.18330571,0.27356237,0.3632132,1.7604151,1.2070675,-2.0299492,-0.06047915,-0.017661702,-0.22375196,-0.1314297,-3.2812815e-07,0.34697592,0.8391471,-0.023460887,-1.646868,0.37333602,0.24507014,0.5178566
3,-0.9848913,-0.6644208,-0.7483732,-0.5926192,-0.5816707,0.8467736,-2.9184697,-0.44904888,0.49728376,0.6740694,0.81360334,-1.0544125,-0.38734442,-1.5090426,-1.2951888,0.13337769,-0.09121615,0.43513146,-1.4057318,-0.10585415,-0.0847194,-0.58007246,-0.21253859,-0.081008725,-2.647107,-0.35899222,-0.036655977,0.39766106,-0.050650045,0.11432673,0.4667564,0.1037386,-0.0006121547,-0.38699883,0.06568317,0.0038199797,0.62576014,-0.009462016,0.36128938,-0.44100085,-0.4042713,0.069836296,-2.9833865,-2.316958,-1.0840427,0.096672475,-0.10152465,0.039930657,-0.08751981,0.1392707,0.564148,0.07049912,-0.11497469,0.1321846,0.067963645,8.1003134e-05,-0.20785016,0.21157496,0.3117121,0.2100635,0.22193296,-0.14385751,-0.16183381,-0.020115566,0.2132639,0.081762895,0.012074146,0.27975553,0.036821544,-0.10776842,0.08253008,-0.33288562,-0.032276884,-0.20381582,0.013370284,0.3988478,0.022206366,-0.19697988,-0.6228944,-0.13441448,-0.43443882,0.17217043,0.2616021,0.35497183,1.6871195,0.53623235,-1.9040582,-0.43211433,-1.259887,-0.19633472,-0.24441494,-1.7421404e-07,-1.0733005,0.54886425,0.0001928239,-0.6101654,-1.0965408,0.3966881,0.5337082
4,-1.0528632,-0.58677566,0.013050471,-0.53239053,-0.3584907,0.23378642,0.21206537,-0.06103116,0.50537163,0.43772885,-0.41977084,-0.39361414,-0.55803317,0.19575986,-0.6646346,0.087788396,-0.04614933,0.123780325,-0.6869613,0.02562394,-0.35670108,0.008638829,-0.43355584,-0.06125116,-0.40028703,-0.31182307,-0.022664946,-0.022215247,-0.0035056518,0.021417521,0.43097475,0.12346846,-0.13654815,-0.5213654,0.049902692,0.0019589073,0.1674148,0.9795643,0.22842601,-0.33836293,-0.10223028,0.491761,-1.3682022,-0.9439243,-0.859477,0.06957996,-0.064723045,0.030331455,-0.053731166,0.41605315,0.28272185,0.043497484,-0.10147634,0.05615524,0.056374006,1.2072345e-05,-0.17326257,0.14767326,0.24375308,0.19998394,0.26111495,-0.095773354,-0.31739545,-0.008239683,0.17033137,0.059788227,0.011133631,-0.063264765,0.024931552,-0.037718322,0.04724908,-0.19896996,-0.032066904,-0.34065324,0.2716202,0.32904035,0.010918447,-0.15502976,-0.46314672,-0.122940786,-0.28134137,0.14373104,0.23938458,0.2847646,1.0498433,0.77026117,-2.0030792,-0.3650188,-0.35058632,-0.163442,-0.1942552,-9.2949456e-08,-0.86646897,-0.5952847,-0.012076764,-0.6894314,-0.13578145,-0.56823254,-0.18189572
5,-0.74082494,-0.5667316,-0.6680906,-0.48537138,-0.4388193,0.58236533,-2.5599306,-0.37837613,0.22515726,0.4203326,0.5520626,-0.52801025,-0.4305672,-1.133218,-0.84436274,0.117668815,-0.08026891,0.23726374,-0.96545285,-0.04060409,0.044084862,-0.48310846,-0.16227537,-0.040789556,-2.109563,-0.2944768,-0.032845974,0.29201293,-0.048906174,0.080634974,0.20120095,0.10921459,-0.049365774,-0.3700239,0.056040812,0.0026493482,0.1964244,-0.13323168,0.46594173,-0.28771058,-0.029627707,0.121392034,-1.7479693,-1.1878211,-0.68990725,0.09060326,-0.097070746,0.036216624,-0.078122005,0.36222163,0.12910417,0.0624886,-0.10801645,0.024103172,0.062485993,3.919141e-05,-0.21211891,0.17989777,0.2605717,0.31534415,0.25572175,-0.10828198,-0.049418338,-0.0144598605,0.1903132,0.07816114,0.011091156,0.2524645,0.028369913,-0.0668532,0.060162544,-0.31806618,-0.031409092,-0.096328825,0.30406874,0.3867954,0.011283208,-0.17116979,-0.49609265,-0.14166257,-0.26383826,0.1548136,0.23817366,0.31882286,1.5285275,0.37209865,-1.9104278,-0.46174937,-1.0185088,-0.17610414,-0.22193511,-9.705523e-08,-0.8397146,0.2316527,0.03438083,-1.1943316,0.6387433,0.27143094,0.35647833
6,-0.69745857,-0.49267697,-0.5430258,-0.3986906,-0.30593258,0.3004507,-2.214552,-0.28180286,0.5714704,0.21666652,0.4847023,-0.80976224,-0.11832029,-1.0200363,-0.69930357,0.09444681,-0.06575104,0.29585755,-0.8841094,-0.14559773,-0.025312513,-0.5174086,-0.10361075,-0.15108606,-0.70524764,-0.1774577,-0.028313234,0.2093392,-0.007991115,0.07594635,0.26503938,0.13936374,-0.026016932,-0.07109652,0.04608399,0.0022880796,0.2785209,0.112047754,0.29072466,-0.23988461,-0.5124398,0.06328216,-1.7132604,-1.3026779,-0.7922881,0.090436354,-0.06034929,0.027280116,-0.059527576,0.13566081,0.26772913,0.046451807,-0.0838182,0.110560454,0.04820101,6.8992245e-05,-0.14330503,0.14810598,0.2196624,0.13693643,0.15412267,-0.09424156,-0.121684246,-0.012153934,0.10450154,0.06576486,0.008633888,0.32820567,0.02342477,-0.07024617,0.05383967,-0.22393858,-0.024008533,-0.015247754,-0.10056575,0.23991953,0.012527657,-0.14383912,-0.2774258,-0.07600817,-0.028788645,0.123277254,0.21212009,0.28642693,1.2443919,0.2871968,-1.4264895,-0.3605849,-0.007427101,-0.15063286,-0.209139,-1.7507526e-07,-1.091992,0.3799694,0.004965743,0.0823649,-1.1028432,0.03299712,0.3706666
7,-0.48704734,-0.29429403,-0.41685164,-0.3251021,-0.45365524,0.36322778,1.186563,-0.21400715,-0.067631945,0.02325525,0.2566052,-0.7679975,0.2053152,0.13329428,-0.14142895,0.10165605,-0.059768192,0.19786794,-1.3725487,0.033804193,-0.049476966,0.350636,-0.24942565,-0.34662244,0.72483844,-0.53642786,-0.023398215,0.28180963,0.033919167,0.06777529,0.08710879,0.041982412,0.016454604,-0.084288284,0.06303362,0.003140184,-0.0785487,0.77955496,0.1671088,-0.22469333,-0.38030842,0.25138777,-3.1024265,-2.6011016,-0.5776671,0.01888218,-0.06888628,0.031560853,-0.059483163,0.15778825,-0.3954126,0.04304228,-0.115120724,0.022873595,0.06369756,4.3541324e-05,-0.16664994,0.03512607,0.05349075,0.19337448,0.15276784,-0.14783423,0.16251646,-0.012870924,0.014776374,0.059678316,0.012485608,0.17366835,0.036816377,-0.076379955,0.07698032,-0.11288748,-0.033168577,-0.07075038,-0.0029685574,0.21710141,0.028185876,-0.19592278,-0.090496086,-0.11520906,-0.23251292,0.16238984,0.25054413,0.33001006,1.611312,0.7930542,-1.9913125,-0.33358043,0.023074526,-0.20095472,-0.24151509,-2.200702e-07,0.043837365,0.7594366,-0.014213235,-0.9219517,0.19653876,0.024983784,0.36742935
8,-0.2839231,-0.38739687,-0.31480417,-0.38764596,-0.08634637,0.03794339,-0.12269817,-0.050913192,0.14229338,0.1460427,-0.23977143,-0.37839398,-0.21668878,-0.42753607,-0.3152854,0.07799716,-0.049080044,0.067572586,-0.37937167,-0.04846047,-0.018605798,-0.262329,-0.0999331,-0.027378608,-0.2302163,-0.10563558,-0.023087112,-0.043111496,-0.006492862,0.014927659,-0.0019224396,0.17692903,-0.10262391,-0.057822604,0.040623467,0.00091999833,-0.20426834,0.46674913,0.31088808,-0.076165296,-0.16893244,0.3428736,-0.27237156,-0.081260554,-0.58187866,0.06981066,-0.05609328,0.025158398,-0.0490677,0.41922808,-0.20757835,0.036884584,-0.08987268,0.025221258,0.048607413,6.7299593e-06,-0.14699508,0.09274791,0.13545203,0.33289745,0.19633086,-0.060210068,-0.09136547,-0.0038027086,0.079343736,0.06741865,0.0090554925,0.056536302,0.01566985,-0.011709777,0.028672215,-0.36026642,-0.027900796,0.017997883,0.22569714,0.20451951,0.0010347025,-0.123854,-0.23051864,-0.09206133,0.02732433,0.11928608,0.19484533,0.24692257,1.1975722,0.24890687,-1.7581791,-0.39656514,-0.045035236,-0.0057375105,-0.16833654,-7.561627e-08,-0.5798976,-0.12158155,-0.0068332856,-0.4689785,-0.116723746,-0.22221434,-0.10696831
9,-0.5369363,-0.61363745,-0.60123724,-0.539495,-0.26315755,0.17678711,-0.08963398,0.0030495336,0.1557739,0.27680138,-0.03506941,-0.44658574,-0.52042854,-0.5698603,-0.45669064,0.093276575,-0.06379428,0.19275445,-0.5716869,-0.03312731,-0.025700416,-0.30434182,-0.31195,-0.24802424,-0.2619364,-0.4557197,-0.027100181,0.016217211,-0.0065952064,0.02768312,-0.014193808,0.1898594,-0.07736928,-0.106349126,0.049241748,0.0013425215,-0.2053614,-0.121447995,0.44486028,-0.107757926,-0.15738812,0.23358528,-0.6483546,-0.4376072,-0.7699652,0.098829485,-0.069245614,0.028888324,-0.05927057,0.36873123,-0.09032513,0.04290245,-0.10323345,0.050572425,0.056075405,1.6535781e-05,-0.18885894,0.17010681,0.14359535,0.35308307,0.3632,-0.077612214,-0.07103917,-0.005587422,0.099108264,0.085672684,0.010152393,0.26277688,0.01978922,-0.022459112,0.038888626,-0.2694196,-0.030456038,-0.114760734,0.29312742,0.2494234,0.0039116982,-0.14775297,-0.16766371,-0.10610206,-0.18308744,0.13815941,0.22238536,0.2975448,1.596693,0.432644,-1.9061183,-0.5451289,-0.031538997,-0.16598563,-0.19754782,-1.06134145e-07,-0.99634117,0.04502902,-0.0097689545,-0.5341595,-0.24056734,-0.28207096,0.18124498
