Q9UKM7
Q14558
P49916
Q8WWV3
P09668
O15127
Q15796
Q8WU79
P35269
Q15417
O43583
Q9NX20
Q12769
Q03701
O15126
P63313
O60573
O60231
Q9NWV4
Q8TDP1
P27482
Q8N1G2
Q96SU4
P01130
Q15572
Q9P0K7
P68366
P50579
Q9HCE1
Q02952
Q8WUY8
O00592
P11182
Q96I51
Q8IXQ4
Q14669
Q9Y3D8
Q8IZH2
Q01995
O75439
P52657
P61964
P26006
P62837
Q9BUF5
Q96I25
P68032
Q9H773
Q15006
Q16774
Q9NQ55
Q9ULX3
Q8TAA9
Q8NC42
P16278
P28340
Q9Y3U8
P50851
P49642
P06865
Q14197
Q9BRF8
Q96DZ1
P63220
Q9BTW9
C9JLW8
Q9NRY4
P31146
Q9UIA9
Q9BQE3
Q99650
Q562R1
Q9NZJ7
P52788
P19404
P61160
P51553
Q9GZR7
Q6PJT7
O95487
P08962
Q13405
P36404
Q92574
P62304
P53990
Q9UM54
P52758
P15260
Q5VZ89
Q9Y5J9
Q92820
Q96RF0
O60826
O94901
Q9BW19
Q08378
P05161
Q9BYN8
Q8IXT5
P05362
Q6PI48
Q99715
Q9UNI6
P82663
Q6P587
P35240
P56556
P13995
Inhi_5
P36507
P04818
Q14978
Q00534
Q02880
P09874
Q02750
P29317
P04626
P42345
P11388
P24941
