proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
Q8IUZ5,0.02564102564102564,0.02127659574468085,False,False,
Q8IV08,0.0,0.0,False,False,
Q8IV20,0.9102564102564102,0.9042553191489362,False,True,
Q8IV32,0.24358974358974358,0.24468085106382978,False,False,
Q8IV36,0.0,0.0,False,False,
Q8IV38,0.0,0.0,False,False,
Q8IV48,0.0,0.0,False,False,
Q8IV50,0.0,0.0,False,False,
Q8IV63,0.01282051282051282,0.02127659574468085,False,False,
Q8IVB5,0.0,0.0,False,False,
Q8IVD9,0.01282051282051282,0.010638297872340425,False,False,
Q8IVF2,0.0,0.0,False,False,
Q8IVF7,0.9743589743589743,0.9787234042553191,False,True,
Q8IVH2,0.9743589743589743,0.9787234042553191,False,True,
Q8IVH4,0.02564102564102564,0.02127659574468085,False,False,[571]
Q8IVH8,0.0,0.0,False,False,
Q8IVL6,0.5,0.5,False,True,
Q8IVM0,0.10256410256410256,0.10638297872340426,False,False,
Q8IVM8,0.46153846153846156,0.48936170212765956,False,False,
Q8IVS2,0.0,0.0,False,False,
Q8IVS8,0.01282051282051282,0.010638297872340425,False,False,
Q8IVT2,0.0,0.0,False,False,
Q8IVT5,0.038461538461538464,0.031914893617021274,False,False,
Q8IVU3,0.6794871794871795,0.7021276595744681,False,True,
Q8IVV2,0.8974358974358975,0.9148936170212766,False,True,
Q8IW35,0.01282051282051282,0.010638297872340425,False,False,
Q8IW45,0.0,0.0,False,False,
Q8IW92,0.46153846153846156,0.4574468085106383,False,True,
Q8IWA0,0.01282051282051282,0.010638297872340425,False,False,
Q8IWA4,0.01282051282051282,0.010638297872340425,False,False,
Q8IWA5,0.01282051282051282,0.010638297872340425,False,False,
Q8IWB1,0.01282051282051282,0.02127659574468085,False,False,
Q8IWB7,0.01282051282051282,0.010638297872340425,False,False,
Q8IWB9,0.0,0.0,False,False,
Q8IWC1,0.16666666666666666,0.20212765957446807,False,False,
Q8IWE2,0.0,0.0,False,False,
Q8IWE4,0.01282051282051282,0.010638297872340425,False,False,
Q8IWE5,0.01282051282051282,0.010638297872340425,False,False,
Q8IWF2,0.8461538461538461,0.8617021276595744,False,True,
Q8IWF6,0.01282051282051282,0.010638297872340425,False,False,
Q8IWI9,0.08974358974358974,0.11702127659574468,False,False,
Q8IWJ2,0.0,0.0,False,False,
Q8IWK6,0.3333333333333333,0.35106382978723405,False,True,
Q8IWL3,0.02564102564102564,0.031914893617021274,False,False,
Q8IWP9,0.358974358974359,0.3723404255319149,False,True,
Q8IWQ3,0.6153846153846154,0.6063829787234043,False,False,
Q8IWR0,0.05128205128205128,0.05319148936170213,False,False,
Q8IWR1,0.01282051282051282,0.010638297872340425,False,False,
Q8IWS0,0.0,0.0,False,False,
Q8IWT0,0.01282051282051282,0.02127659574468085,False,False,
Q8IWT3,0.038461538461538464,0.05319148936170213,False,False,
Q8IWT6,0.0,0.0,False,False,
Q8IWU2,0.8846153846153846,0.8936170212765957,False,True,
Q8IWU5,0.7948717948717948,0.776595744680851,False,True,
Q8IWV7,0.01282051282051282,0.010638297872340425,False,False,
Q8IWV8,0.0,0.0,False,False,
Q8IWW6,0.0,0.0,False,False,
Q8IWX8,0.0,0.0,False,False,
Q8IWY9,0.0,0.0,False,False,
Q8IWZ3,0.0,0.0,False,False,
Q8IWZ6,0.23076923076923078,0.2765957446808511,False,False,
Q8IWZ8,0.0,0.0,False,False,
Q8IX01,0.0,0.0,False,False,
Q8IX03,0.01282051282051282,0.010638297872340425,False,False,
Q8IX04,0.01282051282051282,0.010638297872340425,False,False,
Q8IX12,0.0,0.0,False,False,
Q8IX15,0.4358974358974359,0.4574468085106383,False,True,
Q8IX18,0.0,0.0,False,False,
Q8IX90,0.0,0.010638297872340425,False,False,
Q8IXB1,0.0,0.0,False,False,
Q8IXH7,0.0,0.0,False,False,
Q8IXI1,0.0,0.0,False,False,
Q8IXI2,0.0,0.0,False,False,
Q8IXJ6,0.02564102564102564,0.02127659574468085,False,False,
Q8IXJ9,0.10256410256410256,0.10638297872340426,False,True,
Q8IXK0,0.0,0.0,False,False,
Q8IXK2,0.0,0.0,False,False,
Q8IXM2,0.02564102564102564,0.02127659574468085,False,False,
Q8IXM3,0.34615384615384615,0.35106382978723405,False,False,
Q8IXM6,0.358974358974359,0.3617021276595745,False,False,
Q8IXQ3,0.9871794871794872,0.9893617021276596,False,True,
Q8IXQ4,0.02564102564102564,0.02127659574468085,False,False,
Q8IXQ5,0.3974358974358974,0.4148936170212766,False,False,
Q8IXQ6,0.0,0.0,False,False,
Q8IXS6,0.9871794871794872,0.9893617021276596,False,True,
Q8IXS8,0.0641025641025641,0.05319148936170213,False,False,
Q8IXT5,0.0,0.0,False,False,
Q8IXU6,0.9358974358974359,0.9468085106382979,False,True,
Q8IXW5,0.0,0.0,False,False,
Q8IXZ2,0.07692307692307693,0.0851063829787234,False,False,
Q8IY17,0.0,0.0,False,False,
Q8IY18,0.0,0.0,False,False,
Q8IY21,0.0641025641025641,0.06382978723404255,False,False,
Q8IY22,0.5128205128205128,0.5425531914893617,False,False,
Q8IY26,0.8333333333333334,0.8297872340425532,False,True,
Q8IY31,0.8205128205128205,0.8191489361702128,False,True,
Q8IY33,0.01282051282051282,0.010638297872340425,False,False,
Q8IY37,0.0,0.0,False,False,
Q8IY45,0.02564102564102564,0.031914893617021274,False,False,
Q8IY47,0.2692307692307692,0.2978723404255319,False,False,
Q8IY57,0.3717948717948718,0.3617021276595745,False,True,
Q8IY63,0.3333333333333333,0.30851063829787234,False,False,
